,teamID,ACC,AGI,ARM,Att,Avg,END,G,HND,INT,KAc,KDi,L,Lg,Name,OVR,PA,PBl,PF,Player,Position,RBl,S,SPE,STR,T,TCK,TD,Team,W,WPct,Yards
17,5,15,61,15,207,4.6,71,14,51,32,1,1,5,19,"Jenkins, L.",67,196,27,249,"Jenkins, L.",RB,27,1,75,75,0,22,4,OCO,9,0.643,955
18,5,15,70,15,218,4.6,65,14,42,30,1,1,5,80,"Wright, O.",67,196,22,249,"Wright, O.",RB,22,1,85,51,0,22,3,OCO,9,0.643,999
19,5,81,45,74,4,0.5,42,4,15,70,1,1,5,1,"Bercovici, J.",74,196,1,249,"Bercovici, J.",QB,1,1,50,40,0,15,0,OCO,9,0.643,2
20,5,1,50,1,5,0.4,65,14,61,50,1,1,5,1,"Davidson, J.",63,196,35,249,"Davidson, J.",TE,35,1,60,60,0,30,0,OCO,9,0.643,2
21,5,81,42,75,10,1.0,42,11,17,80,1,1,5,5,"Boss, M.",76,196,3,249,"Boss, M.",QB,3,1,42,37,0,17,0,OCO,9,0.643,10
22,6,73,50,74,7,1.4,50,9,15,73,1,1,10,5,"Christ, J.",72,291,1,213,"Christ, J.",QB,1,1,51,40,0,15,0,SJS,4,0.28600000000000003,10
23,6,15,70,15,112,4.1,65,14,40,50,1,1,10,13,"Wiley, D.",64,291,20,213,"Wiley, D.",RB,20,1,75,50,0,20,3,SJS,4,0.28600000000000003,458
24,6,15,61,15,2,2.5,70,4,51,40,1,1,10,3,"Savea, A.",63,291,27,213,"Savea, A.",RB,27,1,66,70,0,22,1,SJS,4,0.28600000000000003,5
25,6,15,74,15,262,3.8,70,14,51,37,1,1,10,15,"Bowers Jr, V.",71,291,25,213,"Bowers Jr, V.",RB,25,1,80,63,0,20,2,SJS,4,0.28600000000000003,1003
26,6,71,60,73,21,2.6,50,14,15,72,1,1,10,18,"Hunt, E.",74,291,1,213,"Hunt, E.",QB,1,1,69,35,0,15,0,SJS,4,0.28600000000000003,55
27,1,15,73,15,376,3.4,71,14,52,34,1,1,6,18,"Farlane, D.",71,270,24,268,"Farlane, D.",RB,24,2,88,50,0,20,5,BAL,8,0.5710000000000001,1267
28,1,15,70,15,84,4.0,66,14,61,51,1,1,6,14,"Robinson, M.",71,270,27,268,"Robinson, M.",RB,22,2,73,67,0,20,2,BAL,8,0.5710000000000001,332
29,1,80,50,80,16,1.9,50,14,15,82,1,1,6,11,"Kyubee, S.",81,270,1,268,"Kyubee, S.",QB,1,2,60,35,0,15,0,BAL,8,0.5710000000000001,31
30,1,1,45,1,2,0.0,65,14,71,55,1,1,6,0,"Sanderson, J.",63,270,30,268,"Sanderson, J.",TE,30,2,56,52,0,25,0,BAL,8,0.5710000000000001,0
31,2,15,58,15,52,2.5,70,14,52,35,1,1,6,9,"Kennedy, E.",66,295,37,300,"Kennedy, E.",RB,42,2,71,74,0,20,1,YKW,8,0.5710000000000001,129
32,2,84,60,81,15,0.7,55,14,15,81,1,1,6,6,"Orosz, C.",84,295,1,300,"Orosz, C.",QB,1,2,60,50,0,15,0,YKW,8,0.5710000000000001,11
33,2,15,57,15,12,3.1,65,2,49,30,1,1,6,7,"Burnsman, E.",62,295,20,300,"Burnsman, E.",RB,20,2,80,50,0,20,1,YKW,8,0.5710000000000001,37
34,2,17,72,17,290,3.6,70,14,60,71,3,3,6,32,"Nuck, B.",76,295,31,300,"Nuck, B.",RB,24,2,85,52,0,24,5,YKW,8,0.5710000000000001,1041
35,3,15,71,15,285,3.7,68,14,52,52,1,1,6,19,"Tweed, B.",79,216,26,268,"Tweed, B.",RB,26,2,94,71,0,26,6,COL,8,0.5710000000000001,1054
36,3,15,70,15,52,2.9,71,14,53,50,1,1,6,10,"O'Connell, K.",74,216,39,268,"O'Connell, K.",RB,33,2,80,74,0,22,1,COL,8,0.5710000000000001,153
37,3,87,57,81,9,3.4,62,14,17,81,3,3,6,15,"Noble, L.",85,216,3,268,"Noble, L.",QB,3,2,63,50,0,21,0,COL,8,0.5710000000000001,31
38,4,72,55,68,5,0.0,40,6,15,72,1,1,2,2,"Strike, M.",72,175,1,369,"Strike, M.",QB,1,2,71,30,0,15,0,ARI,12,0.857,0
39,4,15,75,15,333,3.3,72,14,50,32,1,1,2,15,"Mackworthy, R.",77,175,22,369,"Mackworthy, R.",RB,22,2,90,75,0,20,7,ARI,12,0.857,1089
40,4,1,50,1,1,1.0,60,14,20,60,1,1,2,1,"MacManus, C.",64,175,70,369,"MacManus, C.",G,60,2,50,65,0,35,0,ARI,12,0.857,1
41,4,80,60,80,10,2.5,55,14,15,80,1,1,2,8,"Bronko, K.",82,175,1,369,"Bronko, K.",QB,1,2,60,56,0,15,0,ARI,12,0.857,25
42,5,85,46,80,14,-0.1,46,14,17,90,1,1,6,4,"Boss, M.",83,219,3,271,"Boss, M.",QB,3,2,46,41,0,21,0,OCO,8,0.5710000000000001,-1
43,5,15,63,15,191,3.4,80,14,60,36,1,1,6,11,"Jenkins, L.",75,219,31,271,"Jenkins, L.",RB,31,2,82,81,0,26,2,OCO,8,0.5710000000000001,640
44,5,15,74,15,165,3.3,70,14,51,37,1,1,6,16,"Bowers Jr, V.",72,219,25,271,"Bowers Jr, V.",RB,25,2,80,67,0,20,1,OCO,8,0.5710000000000001,538
45,6,1,45,1,1,0.0,60,13,20,60,1,1,10,0,"Brownce, B.",66,374,69,233,"Brownce, B.",C,68,2,35,68,0,35,0,SJS,4,0.28600000000000003,0
46,6,70,50,79,2,-6.5,50,3,15,66,1,1,10,0,"Adams, C.",71,374,1,233,"Adams, C.",QB,1,2,53,60,0,15,0,SJS,4,0.28600000000000003,-13
47,6,74,60,77,71,1.5,50,14,15,80,1,1,10,11,"Hunt, E.",79,374,1,233,"Hunt, E.",QB,1,2,70,35,0,15,2,SJS,4,0.28600000000000003,107
48,6,15,73,15,51,3.1,70,14,45,36,1,1,10,15,"Diaz, D.",67,374,25,233,"Diaz, D.",RB,25,2,70,73,0,20,0,SJS,4,0.28600000000000003,159
49,6,15,80,15,302,3.4,73,14,60,30,1,1,10,12,"Durden, J.",73,374,20,233,"Durden, J.",RB,20,2,80,60,0,20,5,SJS,4,0.28600000000000003,1025
50,7,15,60,15,4,2.2,70,14,50,50,1,1,9,4,"Jensen, R.",61,281,25,245,"Jensen, R.",RB,25,2,65,60,0,20,0,PHI,5,0.35700000000000004,9
51,7,1,72,1,13,0.3,71,14,70,60,1,1,9,2,"Jefferson, L.",82,281,7,245,"Jefferson, L.",FS,7,2,90,65,0,70,0,PHI,5,0.35700000000000004,4
52,7,15,71,15,264,3.5,65,14,42,30,1,1,9,14,"Wright, O.",70,281,22,245,"Wright, O.",RB,22,2,92,51,0,22,9,PHI,5,0.35700000000000004,916
53,7,74,50,75,10,-0.5,50,14,15,80,1,1,9,2,"Christ, J.",75,281,1,245,"Christ, J.",QB,1,2,51,40,0,15,0,PHI,5,0.35700000000000004,-5
54,7,15,70,15,30,2.9,70,9,50,32,1,1,9,8,"Newman, M.",65,281,20,245,"Newman, M.",RB,20,2,73,56,0,20,1,PHI,5,0.35700000000000004,86
55,8,83,45,80,18,0.7,46,14,15,81,1,1,11,11,"Bercovici, J.",80,335,1,211,"Bercovici, J.",QB,1,2,50,40,0,15,0,LV,3,0.214,13
56,8,15,70,15,110,3.7,70,14,66,40,1,1,11,10,"Cobb, K.",71,335,35,211,"Cobb, K.",RB,20,2,75,64,0,20,2,LV,3,0.214,404
57,8,15,74,15,227,3.1,71,14,56,44,1,1,11,13,"Savea, A.",77,335,31,211,"Savea, A.",RB,31,2,85,72,0,26,3,LV,3,0.214,712
58,8,1,46,1,2,0.0,65,14,60,57,1,1,11,0,"Larsendorf, R.",58,335,50,211,"Larsendorf, R.",TE,50,2,50,50,0,30,0,LV,3,0.214,0
59,1,80,50,80,11,3.3,50,14,15,88,1,1,5,15,"Kyubee, S.",82,270,1,317,"Kyubee, S.",QB,1,3,60,35,0,15,0,BAL,9,0.643,36
60,1,15,74,15,360,3.1,71,14,52,34,1,1,5,20,"Farlane, D.",72,270,24,317,"Farlane, D.",RB,24,3,88,52,0,24,6,BAL,9,0.643,1114
61,1,1,45,1,3,0.0,65,14,71,55,1,1,5,1,"Sanderson, J.",63,270,30,317,"Sanderson, J.",TE,30,3,56,52,0,25,0,BAL,9,0.643,0
62,1,15,70,15,70,2.9,66,14,61,51,1,1,5,9,"Robinson, M.",71,270,27,317,"Robinson, M.",RB,22,3,73,67,0,20,3,BAL,9,0.643,204
63,2,17,75,17,311,3.4,74,14,64,71,3,3,7,12,"Nuck, B.",80,275,31,332,"Nuck, B.",RB,24,3,91,52,0,24,6,YKW,7,0.5,1045
64,2,15,68,15,57,2.1,72,14,75,42,1,1,7,8,"Kennedy, E.",76,275,45,332,"Kennedy, E.",RB,50,3,72,80,0,24,1,YKW,7,0.5,121
65,2,90,60,81,28,1.3,55,14,15,84,1,1,7,20,"Orosz, C.",87,275,1,332,"Orosz, C.",QB,1,3,60,50,0,15,0,YKW,7,0.5,37
66,3,15,73,15,400,3.4,79,14,56,54,1,1,11,15,"Tweed, B.",84,372,30,182,"Tweed, B.",RB,30,3,100,72,0,30,4,COL,3,0.214,1375
67,3,15,70,15,78,3.6,70,12,50,32,1,1,11,14,"Newman, M.",65,372,20,182,"Newman, M.",RB,20,3,73,56,0,20,2,COL,3,0.214,282
68,3,70,70,70,39,2.0,53,14,15,70,1,1,11,16,"Pierno, N.",74,372,1,182,"Pierno, N.",QB,1,3,75,32,0,15,0,COL,3,0.214,78
69,4,1,70,1,1,2.0,62,14,80,52,1,1,1,2,"Zhang, S.",71,166,14,427,"Zhang, S.",WR,14,3,84,25,0,20,0,ARI,13,0.929,2
70,4,1,58,1,4,0.2,65,14,77,50,1,1,1,2,"Law, C.",76,166,34,427,"Law, C.",TE,45,3,70,66,0,25,0,ARI,13,0.929,1
71,4,85,60,83,16,1.7,55,14,15,85,1,1,1,20,"Bronko, K.",86,166,1,427,"Bronko, K.",QB,1,3,60,60,0,15,0,ARI,13,0.929,27
72,4,15,80,15,364,3.3,72,14,50,40,1,1,1,15,"Mackworthy, R.",81,166,22,427,"Mackworthy, R.",RB,22,3,95,75,0,20,10,ARI,13,0.929,1215
73,5,91,46,85,8,2.1,50,14,17,90,1,1,6,9,"Boss, M.",87,288,3,406,"Boss, M.",QB,3,3,46,41,0,21,0,OCO,8,0.5710000000000001,17
74,5,15,58,15,151,3.7,65,14,49,30,1,1,6,13,"Burnsman, E.",66,288,20,406,"Burnsman, E.",RB,20,3,90,50,0,20,11,OCO,8,0.5710000000000001,552
75,5,15,64,15,123,2.9,80,14,62,40,1,1,6,11,"Jenkins, L.",78,288,35,406,"Jenkins, L.",RB,35,3,85,83,0,30,5,OCO,8,0.5710000000000001,359
76,6,83,60,80,52,2.1,52,14,15,80,1,1,8,17,"Hunt, E.",83,338,1,292,"Hunt, E.",QB,1,3,70,35,1,15,0,SJS,5,0.39299999999999996,108
77,6,15,80,15,32,2.9,70,14,45,36,1,1,8,9,"Diaz, D.",72,338,25,292,"Diaz, D.",RB,25,3,76,75,1,20,2,SJS,5,0.39299999999999996,93
78,6,15,80,15,288,3.0,73,14,60,30,1,1,8,39,"Durden, J.",73,338,20,292,"Durden, J.",RB,20,3,80,60,1,20,4,SJS,5,0.39299999999999996,857
79,7,15,60,15,2,0.0,70,14,40,30,1,1,5,1,"Bessel, F.",45,328,20,326,"Bessel, F.",RB,25,3,30,70,1,20,0,PHI,8,0.607,0
80,7,15,70,15,60,3.2,71,14,53,50,1,1,5,14,"O'Connell, K.",74,328,39,326,"O'Connell, K.",RB,33,3,80,74,1,22,3,PHI,8,0.607,189
81,7,80,56,80,11,0.1,44,14,15,83,1,1,5,5,"Rove, C.",81,328,1,326,"Rove, C.",QB,1,3,57,45,1,15,1,PHI,8,0.607,1
82,7,15,71,15,289,3.4,65,14,42,30,1,1,5,16,"Wright, O.",73,328,22,326,"Wright, O.",RB,22,3,92,68,1,22,7,PHI,8,0.607,982
83,8,84,45,81,6,1.5,46,14,15,81,1,1,12,5,"Bercovici, J.",81,444,1,199,"Bercovici, J.",QB,1,3,50,40,0,15,0,LV,2,0.14300000000000002,9
84,8,15,81,15,311,3.1,71,14,60,44,1,1,12,18,"Savea, A.",82,444,31,199,"Savea, A.",RB,31,3,89,74,0,26,7,LV,2,0.14300000000000002,968
85,8,15,70,15,23,3.8,70,14,66,40,1,1,12,10,"Cobb, K.",71,444,35,199,"Cobb, K.",RB,20,3,75,64,0,20,0,LV,2,0.14300000000000002,87
86,8,1,46,1,8,-0.1,65,14,60,57,1,1,12,1,"Larsendorf, R.",58,444,50,199,"Larsendorf, R.",TE,50,3,50,50,0,30,0,LV,2,0.14300000000000002,-1
87,1,1,80,1,349,3.4,80,14,61,52,1,1,7,51,"Taylor, O.",86,324,36,315,"Taylor, O.",RB,24,4,95,75,0,24,12,BAL,7,0.5,1200
88,1,91,58,83,14,0.6,60,14,15,91,1,1,7,6,"Blocksdale, A.",90,324,1,315,"Blocksdale, A.",QB,1,4,59,46,0,15,0,BAL,7,0.5,8
89,1,1,50,1,24,3.6,70,14,62,45,1,1,7,11,"Koch, D.",69,324,50,315,"Koch, D.",RB,50,4,77,75,0,20,1,BAL,7,0.5,86
90,2,87,80,85,56,2.2,71,14,15,90,1,1,6,22,"Akselsen, M.",93,279,1,361,"Akselsen, M.",QB,1,4,80,38,0,19,1,YKW,8,0.5710000000000001,124
91,2,17,78,17,258,3.3,77,14,66,71,3,3,6,15,"Nuck, B.",82,279,31,361,"Nuck, B.",RB,24,4,92,52,0,24,3,YKW,8,0.5710000000000001,858
92,2,15,80,15,119,3.0,78,14,80,60,1,1,6,10,"Kennedy, E.",87,279,38,361,"Kennedy, E.",RB,36,4,86,75,0,24,3,YKW,8,0.5710000000000001,361
93,3,15,70,15,34,2.6,70,13,50,32,1,1,13,8,"Newman, M.",65,482,20,175,"Newman, M.",RB,20,4,73,56,0,20,1,COL,1,0.071,90
94,3,72,71,70,56,2.0,55,14,15,76,1,1,13,20,"Pierno, N.",77,482,1,175,"Pierno, N.",QB,1,4,81,32,0,15,0,COL,1,0.071,113
95,3,15,74,15,71,3.4,71,14,52,34,1,1,13,13,"Farlane, D.",72,482,24,175,"Farlane, D.",RB,24,4,88,52,0,24,3,COL,1,0.071,238
96,3,1,50,1,1,2.0,65,14,70,55,1,1,13,2,"Joyce, S.",68,482,35,175,"Joyce, S.",TE,35,4,71,55,0,30,0,COL,1,0.071,2
97,3,15,80,15,304,3.3,86,14,70,56,1,1,13,16,"Tweed, B.",90,482,34,175,"Tweed, B.",RB,34,4,100,73,0,34,4,COL,1,0.071,1018
98,4,15,80,15,230,3.5,74,14,50,40,1,1,2,14,"Mackworthy, R.",82,203,22,435,"Mackworthy, R.",RB,22,4,97,75,0,20,10,ARI,12,0.857,809
99,4,88,70,85,15,2.9,55,14,15,85,1,1,2,18,"Bronko, K.",90,203,1,435,"Bronko, K.",QB,1,4,70,70,0,15,1,ARI,12,0.857,43
100,5,15,64,15,123,2.9,80,14,62,40,1,1,5,13,"Jenkins, L.",78,238,35,421,"Jenkins, L.",RB,35,4,85,83,0,30,6,OCO,9,0.643,357
101,5,92,46,90,4,-0.5,70,14,17,90,1,1,5,1,"Boss, M.",90,238,3,421,"Boss, M.",QB,3,4,46,41,0,21,1,OCO,9,0.643,-2
102,5,15,58,15,98,2.8,65,14,49,30,1,1,5,13,"Burnsman, E.",67,238,20,421,"Burnsman, E.",RB,20,4,93,50,0,20,5,OCO,9,0.643,277
103,6,15,80,15,56,2.2,70,14,47,36,1,1,5,9,"Diaz, D.",75,264,25,373,"Diaz, D.",RB,25,4,80,77,0,20,2,SJS,9,0.643,124
104,6,15,70,15,269,3.6,79,14,72,30,1,1,5,31,"Yates, J.",84,264,20,373,"Yates, J.",RB,20,4,100,75,0,20,13,SJS,9,0.643,969
105,6,90,60,83,10,2.3,70,14,15,90,1,1,5,14,"Orosz, C.",90,264,1,373,"Orosz, C.",QB,1,4,60,50,0,15,0,SJS,9,0.643,23
106,7,85,56,80,11,0.6,44,14,15,83,1,1,7,3,"Rove, C.",83,350,1,265,"Rove, C.",QB,1,4,57,45,0,15,0,PHI,7,0.5,7
107,7,1,61,15,235,3.0,65,14,40,30,1,1,7,15,"Kroetch, D.",71,350,20,265,"Kroetch, D.",RB,20,4,95,67,0,20,6,PHI,7,0.5,697
108,7,15,71,15,37,2.7,65,8,42,30,1,1,7,12,"Wright, O.",73,350,22,265,"Wright, O.",RB,22,4,92,68,0,22,0,PHI,7,0.5,100
109,7,15,50,15,9,4.9,70,14,40,45,1,1,7,9,"Milan, C.",63,350,53,265,"Milan, C.",RB,50,4,70,80,0,20,0,PHI,7,0.5,44
110,7,15,70,15,68,2.9,71,14,53,50,1,1,7,10,"O'Connell, K.",74,350,39,265,"O'Connell, K.",RB,33,4,80,74,0,22,1,PHI,7,0.5,200
111,8,1,46,1,4,0.2,65,13,60,57,1,1,11,1,"Larsendorf, R.",58,439,50,234,"Larsendorf, R.",TE,50,4,50,50,0,30,0,LV,3,0.214,1
112,8,15,84,15,409,3.0,71,14,60,44,1,1,11,17,"Savea, A.",84,439,31,234,"Savea, A.",RB,31,4,90,80,0,26,5,LV,3,0.214,1222
113,8,15,70,15,55,3.8,70,14,66,40,1,1,11,12,"Cobb, K.",71,439,35,234,"Cobb, K.",RB,20,4,75,64,0,20,3,LV,3,0.214,211
114,8,83,50,80,22,-1.0,50,14,15,83,1,1,11,2,"Stone, W.",80,439,1,234,"Stone, W.",QB,1,4,40,50,0,15,0,LV,3,0.214,-23
115,1,1,50,1,25,3.4,70,14,66,45,1,1,6,10,"Koch, D.",71,340,50,405,"Koch, D.",RB,50,5,78,75,0,20,1,BAL,8,0.5710000000000001,86
116,1,15,84,15,268,3.7,81,14,75,71,1,1,6,18,"Taylor, O.",93,340,40,405,"Taylor, O.",RB,28,5,99,75,0,24,4,BAL,8,0.5710000000000001,992
117,1,96,70,90,10,1.8,63,14,15,92,1,1,6,8,"Blocksdale, A.",96,340,1,405,"Blocksdale, A.",QB,1,5,61,50,0,19,0,BAL,8,0.5710000000000001,18
118,2,90,86,90,27,2.4,71,14,15,90,1,1,4,12,"Akselsen, M.",98,310,1,433,"Akselsen, M.",QB,1,5,85,56,0,27,1,YKW,10,0.7140000000000001,64
119,2,15,88,15,51,4.3,80,14,84,71,1,1,4,16,"Kennedy, E.",93,310,42,433,"Kennedy, E.",RB,41,5,89,75,0,28,1,YKW,10,0.7140000000000001,218
120,2,17,78,17,184,3.3,77,14,73,71,3,3,4,12,"Nuck, B.",84,310,31,433,"Nuck, B.",RB,24,5,92,54,0,24,2,YKW,10,0.7140000000000001,602
121,3,80,80,76,118,2.9,57,14,15,81,1,1,12,27,"Pierno, N.",85,407,1,180,"Pierno, N.",QB,1,5,82,32,0,15,1,COL,2,0.14300000000000002,348
122,3,15,74,15,109,3.5,71,14,52,34,1,1,12,14,"Farlane, D.",72,407,24,180,"Farlane, D.",RB,24,5,88,52,0,24,1,COL,2,0.14300000000000002,381
123,3,15,88,15,335,3.3,95,14,71,58,1,1,12,16,"Tweed, B.",93,407,38,180,"Tweed, B.",RB,38,5,100,74,0,38,4,COL,2,0.14300000000000002,1098
124,4,15,84,15,188,3.5,74,14,50,40,1,1,6,13,"Mackworthy, R.",84,431,22,436,"Mackworthy, R.",RB,22,5,99,75,0,20,6,AZ,8,0.5710000000000001,652
125,4,1,86,1,7,0.9,69,14,86,56,1,1,6,4,"Chess, C.",82,431,24,436,"Chess, C.",WR,24,5,85,52,0,20,0,AZ,8,0.5710000000000001,6
126,4,90,76,90,5,5.0,55,14,15,85,1,1,6,10,"Bronko, K.",94,431,1,436,"Bronko, K.",QB,1,5,75,70,0,15,0,AZ,8,0.5710000000000001,25
127,4,15,71,15,20,3.4,65,14,42,30,1,1,6,9,"Wright, O.",73,431,22,436,"Wright, O.",RB,22,5,92,68,0,22,1,AZ,8,0.5710000000000001,68
128,5,15,64,15,4,3.5,70,14,75,50,1,1,3,5,"Petrakis, A.",84,265,60,421,"Petrakis, A.",FB,60,5,75,75,0,20,0,OCO,11,0.7859999999999999,14
129,5,15,80,15,7,2.4,73,13,60,30,1,1,3,10,"Durden, J.",73,265,20,421,"Durden, J.",RB,20,5,80,60,0,20,1,OCO,11,0.7859999999999999,17
130,5,15,80,15,137,3.6,80,14,75,52,1,1,3,16,"Yates, J.",90,265,24,421,"Yates, J.",RB,24,5,100,75,0,20,6,OCO,11,0.7859999999999999,493
131,5,93,47,94,10,-0.2,70,14,17,94,1,1,3,4,"Boss, M.",94,265,3,421,"Boss, M.",QB,3,5,52,41,0,21,0,OCO,11,0.7859999999999999,-2
132,5,15,58,15,62,3.7,65,13,49,30,1,1,3,11,"Burnsman, E.",67,265,20,421,"Burnsman, E.",RB,20,5,93,50,0,20,1,OCO,11,0.7859999999999999,230
133,6,1,88,1,257,3.3,78,14,71,50,1,1,6,13,"Smallwood, D.",90,374,36,343,"Smallwood, D.",RB,36,5,95,75,0,36,11,SJS,8,0.5710000000000001,840
134,6,90,69,90,12,3.2,72,14,15,90,1,1,6,10,"Orosz, C.",94,374,1,343,"Orosz, C.",QB,1,5,64,50,0,15,0,SJS,8,0.5710000000000001,38
135,6,15,80,15,69,2.5,70,14,47,36,1,1,6,9,"Diaz, D.",75,374,25,343,"Diaz, D.",RB,25,5,80,77,0,20,0,SJS,8,0.5710000000000001,174
136,7,15,50,15,21,1.9,70,14,40,45,1,1,6,5,"Milan, C.",63,339,53,405,"Milan, C.",RB,50,5,70,80,0,20,0,PHI,8,0.5710000000000001,40
137,7,88,59,87,14,2.2,44,14,15,90,1,1,6,15,"Rove, C.",89,339,1,405,"Rove, C.",QB,1,5,57,45,0,15,1,PHI,8,0.5710000000000001,31
138,7,15,70,15,47,2.9,71,14,53,50,1,1,6,9,"O'Connell, K.",74,339,39,405,"O'Connell, K.",RB,33,5,80,74,0,22,1,PHI,8,0.5710000000000001,138
139,7,1,75,15,230,3.6,65,14,40,30,1,1,6,13,"Kroetch, D.",75,339,20,405,"Kroetch, D.",RB,20,5,95,70,0,20,4,PHI,8,0.5710000000000001,828
140,8,1,50,1,2,1.5,65,14,74,60,1,1,13,2,"Tenzini, G.",65,453,30,296,"Tenzini, G.",TE,30,5,65,43,0,25,0,LV,1,0.071,3
141,8,15,87,15,276,3.1,71,14,60,44,1,1,13,13,"Savea, A.",85,453,31,296,"Savea, A.",RB,31,5,90,80,0,26,4,LV,1,0.071,849
142,8,15,70,15,27,3.0,70,14,74,49,1,1,13,9,"O'Sullivan, C.",75,453,33,296,"O'Sullivan, C.",RB,28,5,82,52,0,24,0,LV,1,0.071,80
143,8,87,60,82,14,4.1,64,14,17,81,3,3,13,13,"Noble, L.",86,453,3,296,"Noble, L.",QB,3,5,65,52,0,25,0,LV,1,0.071,58
144,1,15,93,15,337,4.2,86,14,75,75,1,1,7,20,"Taylor, O.",96,351,40,397,"Taylor, O.",RB,36,6,100,70,0,24,5,BAL,7,0.5,1402
145,1,95,72,94,20,7.2,70,14,15,95,1,1,7,61,"Blocksdale, A.",100,351,1,397,"Blocksdale, A.",QB,1,6,74,64,0,23,1,BAL,7,0.5,144
146,1,1,70,1,1,3.0,71,14,80,67,1,1,7,3,"Wachter, J.",80,351,24,397,"Wachter, J.",WR,24,6,85,62,0,24,0,BAL,7,0.5,3
147,1,1,75,1,2,1.5,63,14,74,46,1,1,7,3,"Stormblessed, N.",76,351,16,397,"Stormblessed, N.",WR,16,6,95,31,0,26,0,BAL,7,0.5,3
148,2,1,72,1,4,0.5,70,14,80,64,1,1,6,1,"McPoyal, G.",85,339,36,385,"McPoyal, G.",TE,36,6,80,71,1,29,0,YKW,7,0.536,2
149,2,17,78,17,102,3.8,79,14,73,71,3,3,6,21,"Nuck, B.",83,339,31,385,"Nuck, B.",RB,24,6,93,48,1,24,3,YKW,7,0.536,390
150,2,15,95,15,185,4.0,82,14,88,74,1,1,6,13,"Kennedy, E.",95,339,50,385,"Kennedy, E.",RB,40,6,90,70,1,36,9,YKW,7,0.536,744
151,2,90,89,90,115,5.4,74,14,35,90,1,1,6,66,"Akselsen, M.",99,339,1,385,"Akselsen, M.",QB,1,6,90,60,1,27,8,YKW,7,0.536,617
152,3,1,60,15,77,3.5,70,14,40,53,1,1,14,12,"Joyce, S.",68,541,42,197,"Joyce, S.",RB,54,6,75,76,0,20,2,COL,0,0.0,270
